obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,policy_success,difficulty
"[0.008979763473650173, 0.010584068697291955, 0.054980000121842634]","[0.00961939204838659, 0.05961927694743578, -0.00526673647678607]",[-1.53941534 -0.11005749 -1.5534718 ],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.027363524543895935, 0.024312543568626423, 0.054980000121842634]","[0.023356325023706638, 0.04005118435066034, -0.04511149653189479]",[-1.81412767 -0.29938893 -1.69309752],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.0066710224372436774, 0.025481060016037678, 0.054980000121842634]","[0.027108039228155363, 0.03517205054592406, -0.0471106325693343]",[-1.81886923 -0.12808453 -1.60621542],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.02260945218504344, 0.00726803945957356, 0.054980000121842634]","[0.011239635980862257, 0.060304524774344205, -0.03641611377001228]",[-1.72656521 -0.18435097 -1.63831276],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.02401395126826828, 0.0018982865860100889, 0.054980000121842634]","[0.03358625410191809, 0.06435725747532588, -0.029613795350458903]",[-1.69272858 -0.04173444 -1.64445597],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.013404954356030948, 0.00856596320935002, 0.054980000121842634]","[-0.001780962192068778, 0.05917049491765473, -0.03249723052926462]",[-1.6997926  -0.06028719 -1.61508991],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.00837050786046289, 0.029369542263171327, 0.054980000121842634]","[0.011765310028459267, 0.039747384947127214, -0.017477836786642817]",[-1.62899391 -0.00256679 -1.73474438],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.0339658320503376, 0.0025696137502765944, 0.054980000121842634]","[-0.024739400504784077, 0.06432419081188141, -0.041747271401915864]",[-1.73653686 -0.03363975 -1.65388088],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.01261600078230532, 0.01925707243642188, 0.054980000121842634]","[0.011764846698521677, 0.04862036352565519, -0.028411217715172327]",[-1.69516499 -0.11337459 -1.78807777],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.022678804349240345, 0.012921832082414928, 0.054980000121842634]","[0.04137746142661247, 0.05308547799109676, -0.015134441290426147]",[-1.64660274 -0.09038098 -1.77053934],CylinderM,normal,TRUE,TRUE,TRUE,easy
